Country,Airport,Flight identification,Flight Status,Aircraft Code,Aircraft Name,Aircraft Registration,Aircraft owner (Country),Airline Name,Airline Code,Departure Country,Departure Airport Name,Departure Airport Code,Scheduled Departure,Scheduled Arrival,Estimated Departure,Destination Country,Destination Airport Name,Destination Airport Code
Australia,Gold Coast Airport,VA525,Scheduled,B738,,PS-AEK,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 02:50:00,2024-03-15 04:10:00,2024-03-15 02:50:00,New Zealand,Auckland Airport,NZAA
Australia,Gold Coast Airport,JQ168,Scheduled,A320,,PR-YYD,Australia,Jetstar,JST,New Zealand,Wellington International Airport,NZWN,2024-03-15 00:35:00,2024-03-15 04:15:00,2024-03-15 00:35:00,Indonesia,Denpasar Ngurah Rai International Airport,WADD
Australia,Gold Coast Airport,VA743,Scheduled,B738,,,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 02:10:00,2024-03-15 04:15:00,2024-03-15 02:27:00,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,JQ412,Scheduled,A321,,PR-XBA,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 03:05:00,2024-03-15 04:25:00,2024-03-15 03:05:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,JQ651,Scheduled,A320,,,Australia,Jetstar,JST,Australia,Canberra International Airport,YSCB,2024-03-15 04:20:00,2024-03-15 06:00:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,JQ134,Scheduled,A320,,PR-AXJ,Australia,Jetstar,JST,New Zealand,Auckland Airport,NZAA,2024-03-15 03:05:00,2024-03-15 06:35:00,2024-03-15 03:05:00,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,JQ416,Scheduled,A320,Airbus A319-115,,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 05:25:00,2024-03-15 06:45:00,2024-03-15 05:25:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,VA535,Scheduled,B738,,,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 06:20:00,2024-03-15 07:40:00,2024-03-15 06:20:00,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,JQ422,Scheduled,A320,Cessna 208B Grand Caravan EX,PS-AEA,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 06:25:00,2024-03-15 07:45:00,2024-03-15 06:25:00,New Zealand,Queenstown Airport,NZQN
Australia,Gold Coast Airport,JQ630,Scheduled,A320,,,Australia,Jetstar,JST,Australia,Melbourne Avalon Airport,YMAV,2024-03-15 05:55:00,2024-03-15 07:55:00,,Australia,Cairns Airport,YBCS
Australia,Gold Coast Airport,VA539,Scheduled,B738,,PR-YSD,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 07:20:00,2024-03-15 08:40:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,VA753,Scheduled,B738,,PS-AEA,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 07:20:00,2024-03-15 09:25:00,,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,JQ434,Scheduled,A320,,VH-IBC,Australia,Jetstar,JST,Australia,Melbourne Airport,YMML,2024-03-15 07:50:00,2024-03-15 09:55:00,,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,VA755,Scheduled,B738,,VH-AFR,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 08:20:00,2024-03-15 10:25:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,VA545,Scheduled,B738,,VH-VXC,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 09:20:00,2024-03-15 10:40:00,,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,JQ440,Scheduled,A320,,VH-YKW,Australia,Jetstar,JST,Australia,Melbourne Airport,YMML,2024-03-15 09:30:00,2024-03-15 11:35:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,JQ695,Scheduled,A320,,VH-YFH,Australia,Jetstar,JST,Australia,Hobart International Airport,YMHB,2024-03-15 09:35:00,2024-03-15 12:10:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,JQ400,Scheduled,A320,,VH-MVP,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 19:05:00,2024-03-15 20:25:00,,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,JQ402,Scheduled,A21N,,VH-8R8,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 20:10:00,2024-03-15 21:30:00,,Australia,Adelaide Airport,YPAD
Australia,Gold Coast Airport,VA501,Scheduled,B738,,VH-YUJ,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 20:10:00,2024-03-15 21:30:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,VA511,Scheduled,B738,,VH-YFL,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 22:20:00,2024-03-15 23:40:00,,Australia,Canberra International Airport,YSCB
Australia,Gold Coast Airport,VA1687,Scheduled,B738,Cessna 172S Skyhawk SP,VH-YXW,Australia,Virgin Australia,VOZ,Australia,Canberra International Airport,YSCB,2024-03-15 23:35:00,2024-03-16 01:10:00,,Australia,Melbourne Airport,YMML
Australia,Gold Coast Airport,VA735,Scheduled,B738,,VH-UKH,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 23:10:00,2024-03-16 01:15:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Gold Coast Airport,VA519,Scheduled,B738,,VH-MFM,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-16 01:20:00,2024-03-16 02:40:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Hamilton Island Great Barrier Reef Airport,JQ854,Estimated 10:04,A320,,,Australia,Jetstar,JST,Australia,Melbourne Airport,YMML,2024-03-14 21:30:00,2024-03-15 00:25:00,,Australia,Melbourne Airport,YMML
Australia,Hamilton Island Great Barrier Reef Airport,VA1495,Scheduled,B738,,G-NEOS,Australia,Virgin Australia,VOZ,Australia,Brisbane Airport,YBBN,2024-03-15 00:20:00,2024-03-15 02:00:00,2024-03-15 00:20:00,Australia,Brisbane Airport,YBBN
Australia,Hamilton Island Great Barrier Reef Airport,VA1283,Scheduled,B738,,D-AISX,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 01:40:00,2024-03-15 04:10:00,2024-03-15 01:40:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Hamilton Island Great Barrier Reef Airport,VA1749,Scheduled,B738,,HB-JXJ,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-15 20:35:00,2024-03-15 23:35:00,,Australia,Melbourne Airport,YMML
Australia,Hamilton Island Great Barrier Reef Airport,VA1493,Scheduled,B738,,EC-MBT,Australia,Virgin Australia,VOZ,Australia,Brisbane Airport,YBBN,2024-03-15 22:20:00,2024-03-16 00:00:00,,Australia,Brisbane Airport,YBBN
Australia,Hamilton Island Great Barrier Reef Airport,VA1495,Scheduled,B738,,HB-IOO,Australia,Virgin Australia,VOZ,Australia,Brisbane Airport,YBBN,2024-03-16 00:20:00,2024-03-16 02:00:00,,Australia,Brisbane Airport,YBBN
Australia,Hamilton Island Great Barrier Reef Airport,VA1283,Scheduled,B738,,,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-16 01:40:00,2024-03-16 04:10:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Hervey Bay Airport,JQ890,Scheduled,A320,,SX-SIX,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 01:00:00,2024-03-15 02:45:00,2024-03-15 01:00:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Hobart International Airport,JQ705,Estimated 11:06,A320,,,Australia,Jetstar,JST,Australia,Melbourne Airport,YMML,2024-03-14 22:50:00,2024-03-15 00:10:00,,Australia,Brisbane Airport,YBBN
Australia,Hobart International Airport,VA1530,Estimated 11:42,B738,,,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-14 23:00:00,2024-03-15 00:55:00,,Australia,Melbourne Airport,YMML
Australia,Hobart International Airport,VA1320,Scheduled,B738,,VN-A327,Australia,Virgin Australia,VOZ,Australia,Melbourne Airport,YMML,2024-03-14 23:40:00,2024-03-15 00:55:00,2024-03-14 23:40:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Hobart International Airport,JQ707,Scheduled,A320,Boeing 737-81B,,Australia,Jetstar,JST,Australia,Melbourne Airport,YMML,2024-03-15 00:25:00,2024-03-15 01:40:00,2024-03-15 00:25:00,Australia,Melbourne Airport,YMML
Australia,Hobart International Airport,JQ721,Scheduled,A320,,,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 00:10:00,2024-03-15 02:05:00,2024-03-15 00:35:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Hobart International Airport,JQ725,Scheduled,A320,,,Australia,Jetstar,JST,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 06:00:00,2024-03-15 07:50:00,2024-03-15 06:00:00,Australia,Adelaide Airport,YPAD
Australia,Hobart International Airport,VA1536,Scheduled,B738,,,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 06:50:00,2024-03-15 08:45:00,2024-03-15 06:50:00,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Hobart International Airport,JQ696,Scheduled,A320,,,Australia,Jetstar,JST,Australia,Gold Coast Airport,YBCG,2024-03-15 06:15:00,2024-03-15 08:55:00,,Australia,Sydney Kingsford Smith Airport,YSSY
Australia,Hobart International Airport,VA1530,Scheduled,B738,,,Australia,Virgin Australia,VOZ,Australia,Sydney Kingsford Smith Airport,YSSY,2024-03-15 23:00:00,2024-03-16 00:55:00,,Australia,Melbourne Airport,YMML
