Country,Airport
Australia, Fitzroy Crossing Airport (FIZ/YFTZ) 
Australia, Flinders Island Airport (FLS/YFLI) 
Australia, Forbes Airport (FRB/YFBS) 
Australia, Forrest Airport (FOS/YFRT) 
Australia, Forrestania Airport (QBF/YFTA) 
Australia, Fortnum Airport (QBO/YFOR) 
Australia, Gapuwiyak Lake Evella Airport (LEL/YLEV) 
Australia, Garden Point Airport (GPN/YGPT) 
Australia, Gayndah Airport (GAH/YGAY) 
Australia, George Town Airport (GEE/YGTO) 
Australia, Georgetown Airport (GTT/YGTN) 
Australia, Geraldton Airport (GET/YGEL) 
Australia, Ginbata Airport (GBW/YGIA) 
Australia, Gladstone Airport (GLT/YGLA) 
Australia, Glen Innes Airport (GLI/YGLI) 
Australia, Gold Coast Airport (OOL/YBCG) 
Australia, Golden Grove Airport (QBG/YGGE) 
Australia, Goondiwindi Airport (GOO/YGDI) 
Australia, Goulburn Airport (GUL/YGLB) 
Australia, Gove Airport (GOV/YPGV) 
Australia, Grafton Clarence Valley Regional Airport (GFN/YGFN) 
Australia, Greenvale Airport (GVP/YGNV) 
Australia, Gregory Downs Airport (GGD/YGDS) 
Australia, Griffith Airport (GFF/YGTH) 
Australia, Groote Eylandt Airport (GTE/YGTE) 
Australia, Gruyere Mine Site Airport (GYZ/YGRM) 
Australia, Gunbalanya Oenpelli Airport (OPI/YOEN) 
Australia, Gunnedah Airport (GUH/YGDH) 
Australia, Gympie Airport (GYP/YGYM) 
Australia, Halls Creek Airport (HCQ/YHLC) 
Australia, Hamilton Airport (HLT/YHML) 
Australia, Hamilton Island Great Barrier Reef Airport (HTI/YBHM) 
Australia, Hay Airport (HXX/YHAY) 
Australia, Hermannsburg Airport (HMG/YHMB) 
Australia, Hervey Bay Airport (HVB/YHBA) 
Australia, Hobart Cambridge Airport (QBM/YCBG) 
Australia, Hobart International Airport (HBA/YMHB) 
Australia, Horn Island Airport (HID/YHID) 
Australia, Horsham Airport (HSM/YHSM) 
Australia, Hughenden Airport (HGD/YHUG) 
Australia, Ingham Airport (IGH/YIGM) 
Australia, Injune Airport (INJ/YINJ) 
Australia, Inkerman Airport (IKP/YIKM) 
Australia, Innisfail Airport (IFL/YIFL) 
Australia, Inverell Airport (IVR/YIVL) 
Australia, Iron Bridge Airport (IBM/YIBO) 
Australia, Jabiru Airport (JAB/YJAB) 
Australia, Jameson Airport (QBJ/YJAM) 
Australia, Julia Creek Airport (JCK/YJLC) 
Australia, Jundee Airport (QBN/YJUN) 
Australia, Kalbarri Airport (KAX/YKBR) 
Australia, Kalgoorlie Boulder Airport (KGI/YPKG) 
Australia, Kalkgurung Daguragu Airport (KFG/YKKG) 
Australia, Kalumburu Airport (UBU/YKAL) 
Australia, Kambalda Airport (KDB/YKBL) 
Australia, Karara Airport (KQR/YKAR) 
Australia, Karratha Airport (KTA/YPKA) 
Australia, Karumba Airport (KRB/YKMB) 
Australia, Katanning Airport (KNI/YKNG) 
Australia, Katherine Tindal Airport (KTR/YPTN) 
Australia, Kempsey Airport (KPS/YKMP) 
Australia, Kerang Airport (KRA/YKER) 
Australia, King Island Airport (KNS/YKII) 
Australia, Kingaroy Airport (KGY/YKRY) 
Australia, Kings Creek Airport (KCS/YKCS) 
Australia, Kingscote Airport (KGC/YKSC) 
Australia, Koodaideri Mine Airport (OOD/YKDD) 
Australia, Kowanyama Airport (KWM/YKOW) 
Australia, Kubin Airport (KUG/YKUB) 
Australia, Kununurra East Kimberley Regional Airport (KNX/YPKU) 
Australia, Labona Airport (QBL/YLBA) 
Australia, Lady Elliot Island Airport (LYT/YLTT) 
Australia, Lajamanu Hooker Creek Airport (HOK/YHOO) 
Australia, Launceston Airport (LST/YMLT) 
Australia, Laverton Airport (LVO/YLTN) 
Australia, Learmonth Airport (LEA/YPLM) 
Australia, Leigh Creek Airport (LGH/YLEC) 
Australia, Leinster Airport (LER/YLST) 
Australia, Leonora Airport (LNO/YLEO) 
Australia, Lightning Ridge Airport (LHG/YLRD) 
Australia, Lismore Airport (LSY/YLIS) 
Australia, Lizard Island Airport (LZR/YLZI) 
Australia, Lockhart River Airport (IRG/YLHR) 
Australia, Lombadina Airport (QBD/YLBD) 
Australia, Longreach Airport (LRE/YLRE) 
Australia, Lord Howe Island Airport (LDH/YLHI) 
Australia, Mabuiag Island Airport (UBB/YMAA) 
Australia, Mackay Airport (MKY/YBMK) 
Australia, Maitland Airport (MTL/YMND) 
Australia, Mallacoota Airport (XMC/YMCO) 
Australia, Maningrida Airport (MNG/YMGD) 
Australia, Manjimup Airport (MJP/YMJM) 
Australia, Marble Bar Airport (MBB/YMBL) 
Australia, Mareeba Airport (MRG/YMBA) 
Australia, Margaret River Airport (MQZ/YMGT) 
Australia, Marla Airport (MRP/YALA) 
Australia, Marree Airport (RRE/YMRE) 
Australia, Maryborough Airport (MBH/YMYB) 
Australia, McArthur River Mine Airport (MCV/YMHU) 
Australia, Meekathara Airport (MKR/YMEK) 
Australia, Melbourne Essendon Airport (MEB/YMEN) 
Australia, Melbourne Avalon Airport (AVV/YMAV) 
Australia, Melbourne Moorabbin Airport (MBW/YMMB) 
Australia, Melbourne Airport (MEL/YMML) 
Australia, Merimbula Airport (MIM/YMER) 
Australia, Middlemount Airport (MMM/YMMU) 
Australia, Mildura Airport (MQL/YMIA) 
Australia, Miles Airport (WLE/YMLS) 
Australia, Milikapiti Snake Bay Airport (SNB/YSNB) 
Australia, Milingimbi Airport (MGT/YMGB) 
Australia, Millicent Airport (MLR/YMCT) 
Australia, Mitchell Plateau Airport (MIH/YMIP) 
Australia, Monkey Mia Shark Bay Airport (MJK/YSHK) 
Australia, Monto Airport (MNQ/YMTO) 
Australia, Moomba Airport (MOO/YOOM) 
Australia, Moranbah Airport (MOV/YMRB) 
Australia, Moree Airport (MRZ/YMOR) 
Australia, Mornington Island Airport (ONG/YMTI) 
Australia, Moruya Airport (MYA/YMRY) 
Australia, Morwell Latrobe Regional Airport (TGN/YLTV) 
Australia, Mount Gambier Airport (MGB/YMTG) 
Australia, Mount Holland Airport (QBH/YMHL) 
Australia, Mount Isa Airport (ISA/YBMA) 
Australia, Mount Keith Airport (WME/YMNE) 
Australia, Mount Magnet Airport (MMG/YMOG) 
Australia, Mudgee Airport (DGE/YMDG) 
Australia, Mungalalu Truscott Airport (TTX/YTST) 
Australia, Murray Island Airport (MYI/YMUI) 
Australia, Murrin Murrin Airport (WUI/YMMI) 
Australia, Naracoorte Airport (NAC/YNRC) 
Australia, Narrabri Airport (NAA/YNBR) 
Australia, Narrandera Airport (NRA/YNAR) 
Australia, Newcastle Lake Macquarie Airport (BEO/YLMQ) 
Australia, Newcastle Airport (NTL/YWLM) 
Australia, Newman Airport (ZNE/YNWN) 
Australia, Ngukurr Airport (RPM/YNGU) 
Australia, Nifty Airport (NIF/YCNF) 
Australia, Noosaville Noosa Airport (NSV/YNSH) 
Australia, Norfolk Island Airport (NLK/YSNF) 
Australia, Normanton Airport (NTN/YNTN) 
Australia, Norseman Airport (NSM/YNSM) 
Australia, Numbulwar Airport (NUB/YNUM) 
Australia, Oakey Airport (OKY/YBOK) 
Australia, Olympic Dam Airport (OLP/YOLD) 
Australia, Onslow Airport (ONS/YOLW) 
Australia, Oodnadatta Airport (ODD/YOOD) 
Australia, Orange Airport (OAG/YORG) 
Australia, Osborne Mine Airport (OSO/YOSB) 
